
1,9LN01047,CLC FANTASI GENERASI,SAWIT KINABALU GROUP LADANG SAPAGAYA 90200 KINABATANGAN,Paris 1,NEGERI
2,69984999,CLC SUNGAI SEGAMAHA,CLC SUNGAI SEGAMAHA,Paris 1,NEGERI
