
1,69899497,SD INPRES PUBUAN,KAMPUNG PUBUAN,pubuan,NEGERI
2,69899496,SD YPK INAM KEBAR,KAMPUNG INAM,inam,SWASTA
3,69888704,SMP SATU ATAP INAM,Jl. Trans Manokwari,inam,SWASTA
