30300191,SD NEGERI PEMURUS 1,JL. PEMURUS UJUNG RT. 02,PEMURUS UJUNG,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300192,SD NEGERI PEMURUS 2,Pemurus Rt 03 Rw 01,Pemurus,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300206,SD NEGERI PODOK 1,Desa Podok Rt.01 Rw.02,PODOK,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300205,SD NEGERI PODOK 2,Podok,PODOK,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300136,SD NEGERI SIMPANG WARGA 1,Jl. Inpres Simpang Warga Dalam,Simpang Warga Dalam,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300115,SD NEGERI SIMPANG WARGA 2,DESA SIMPANG WARGA DALAM,Simpang Warga Dalam,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300140,SD NEGERI SUNGAI MUSANG,Sungai Musang RT.03 RW.01,Sungai Musang,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300114,SD NEGERI SUNGAI PULANTAN,Sungai Pulantan,Pulantan,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300317,SD NEGERI TANIPAH,Jalan Datu H. Tukacil RT. 03,TANIPAH,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300306,SD NEGERI TERAPU,Jl.balai Desa,Terapu,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30305362,SMAN 1 ALUH-ALUH,JL. INPRES RT.02 RW.01,Bunipah,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
20275991,SMAS MAWAR PUTIH,JL. DESA KUIN KECIL,KUIN KECIL,SWASTA,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300233,SMP NEGERI 1 ALUH-ALUH,"Jl. Inpres Aluh-Aluh RT 01,No.36",Aluh-Aluh Besar,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30300272,SMP NEGERI 2 ALUH-ALUH,Jl. Jembatan 1,Labat Muara,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30311550,SMP NEGERI 3 ALUH-ALUH,Jl. Pemurus Ujung Rt.02,Pemurus,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30311551,SMP NEGERI 4 ALUH-ALUH,Aluh-aluh,Kuin Kecil,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30312926,SMP NEGERI 5 ALUH-ALUH,Aluh-aluh,Podok,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30314323,SMP NEGERI 6 ALUH-ALUH,Jl. Aluh-ALUH Kecil Rt. 03/01,Aluh Aluh Kecil,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30312530,SMP NEGERI 7 ALUH-ALUH,Sungai Musang,Sungai Musang,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
60726608,SMP NEGERI 8 ALUH-ALUH,Jalan Tanipah RT. 003/RW. 001,Podok,NEGERI,Kec. Aluh-Aluh,Kab. Banjar,Prov. Kalimantan Selatan
30315526,MAN 3 Banjar,"Jl. A. Yani KM.15,200",Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722834,MIN 10 Banjar,Jl. A. Yani KM. 15.500,Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722824,MIN 20 Banjar,Jl. Beringin RT.004 RW.02,Tambak Sirang Darat,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722833,MIN 6 Banjar,Jl. Iriasi Kayu Bawang,Kayu Bawang,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722823,MIN 8 Banjar,Jl. Irigasi Tambak Sirang Laut,Tambak Sirang Laut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722830,MIS Ahsanul Insan,Jl. Handil Lima Desa Keladan Baru RT.03,Keladan Baru,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722827,MIS Al Bustanussaniyah,Jl. Pahlawan Desa Malintang RT.02,Malintang,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722825,MIS Al-Istiqamah,Jl. Pahlawan RT.03,Guntung Papuyu,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722821,MIS At-Thayyibah,Jl. Handil Malang,Tambak Sirang Baru,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722828,MIS Hidayatul Islamiyah,Jl. A. Yani Km. 13.500,GAMBUT BARAT,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
69857738,MIS Hidayatul Jannah,Jl. Beringin Handil Amuntai,Makmur,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722822,MIS Nurul Huda,Jl. Irigasi RT.03,Kayu Bawang,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722831,MIS Nurul Islam,Jl. A. Yani Km. 11.200 Handil II RT.02,Banyu Hirang,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
60722832,MIS Tasrihul Islam,Jl. Gudang Lukah RT.02,Sungai Kupang,SWASTA,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30315280,MTsN 1 Banjar,"Jl. A. Yani Km.15,200",Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30315281,MTsN 2 Banjar,Jl. Irigasi Tambak Sirang Laut,Tambak Sirang Laut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300396,SD NEGERI BANYU HIRANG,Jalan Handil Kelua,Banyu Hirang,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300338,SD NEGERI GAMBUT 1,Jl. Pemajatan,Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300339,SD NEGERI GAMBUT 10,Jl. A.yani Km 14 Komplek Lutfia,Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300340,SD NEGERI GAMBUT 11,JL. SETIA BERSAMA,GAMBUT,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300341,SD NEGERI GAMBUT 2,Jl.pemajatan Km 1 RT.10 RW.04,Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300342,SD NEGERI GAMBUT 3,"Jalan A Yani Km 12,500",GAMBUT BARAT,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300358,SD NEGERI GAMBUT 4,Jl Tatah Cina Rt 01,Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
30300359,SD NEGERI GAMBUT 5,Jl Pematang Panjang Km 4.00 Rt 02 Rw 01,Gambut,NEGERI,Kec. Gambut,Kab. Banjar,Prov. Kalimantan Selatan
