
1,60303290,SD YPK ANGGURUK,-,tidak diisi,SWASTA
2,60303348,SMAN ANGGRUK,JL. YAHULIKMA ANGGRUK,YAHOLIKMA,NEGERI
3,60303325,SMP ANGGURUK,Jl. Rimba 01,YAHOLIKMA,NEGERI
